antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A_id,B_id,phi,p_value,abs_phi,abs_loglift,p_fdr,fdr_sig,domA,domB
frozenset({'MathA_03_r'}),frozenset({'MathA_01_r'}),0.609375,0.4513888888888889,0.3107638888888889,0.50997150997151,1.1297830374753453,1.0,0.03569878472222221,1.1195494186046513,0.2940782122905027,0.41435185185185186,0.10678351184680297,0.5992165242165242,MathA_03_r,MathA_01_r,0.14703589388591362,0.00027348034472852377,0.14703589388591362,0.12202561205525277,0.0012597527096317976,True,数と計算,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathA_03_r'}),0.4513888888888889,0.609375,0.3107638888888889,0.6884615384615385,1.1297830374753453,1.0,0.03569878472222221,1.253858024691358,0.2093911321688706,0.41435185185185186,0.20246153846153844,0.5992165242165242,MathA_01_r,MathA_03_r,0.14703589388591362,0.00027348034472852377,0.14703589388591362,0.12202561205525277,0.0012597527096317976,True,数と計算,数と計算
frozenset({'MathA_05_r'}),frozenset({'MathA_01_r'}),0.3923611111111111,0.4513888888888889,0.21875,0.5575221238938053,1.2351259360108917,1.0,0.04164255401234568,1.239861111111111,0.3132879818594105,0.35,0.19345804861655644,0.521068754254595,MathA_05_r,MathA_01_r,0.1713814715415935,2.7992106203519566e-05,0.1713814715415935,0.21117293735955558,0.0002064417832509568,True,数と計算,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathA_05_r'}),0.4513888888888889,0.3923611111111111,0.21875,0.4846153846153846,1.2351259360108917,1.0,0.04164255401234568,1.1790008291873963,0.34699618243922037,0.35,0.15182417582417584,0.521068754254595,MathA_01_r,MathA_05_r,0.1713814715415935,2.7992106203519566e-05,0.1713814715415935,0.21117293735955558,0.0002064417832509568,True,数と計算,数と計算
frozenset({'MathB_10_r'}),frozenset({'MathA_01_r'}),0.3489583333333333,0.4513888888888889,0.13368055555555555,0.3830845771144279,0.8486796785304248,1.0,-0.02383535879629628,0.8892809139784947,-0.21499062066715585,0.20052083333333334,-0.12450406196863777,0.339619211634137,MathB_10_r,MathA_01_r,-0.10048998531799143,0.009905238353033396,0.10048998531799143,0.1640734565250284,0.026564048310407744,True,数と計算,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathB_10_r'}),0.4513888888888889,0.3489583333333333,0.13368055555555555,0.29615384615384616,0.8486796785304248,1.0,-0.02383535879629628,0.9249772313296906,-0.2452853598014887,0.20052083333333334,-0.08110769230769227,0.339619211634137,MathA_01_r,MathB_10_r,-0.10048998531799143,0.009905238353033396,0.10048998531799143,0.1640734565250284,0.026564048310407744,True,数と計算,数と計算
frozenset({'MathA_05_r'}),frozenset({'MathB_10_r'}),0.3923611111111111,0.3489583333333333,0.11805555555555555,0.3008849557522124,0.8622374851406684,1.0,-0.018862123842592587,0.9312368143459917,-0.20819748486259895,0.1894150417827298,-0.0738407079646017,0.3195967067318276,MathA_05_r,MathB_10_r,-0.08104638615319584,0.03133839499230749,0.08104638615319584,0.14822454145936356,0.0560292516529134,False,数と計算,数と計算
frozenset({'MathB_10_r'}),frozenset({'MathA_05_r'}),0.3489583333333333,0.3923611111111111,0.11805555555555555,0.3383084577114428,0.8622374851406683,1.0,-0.018862123842592587,0.9183114035087718,-0.19705271112790473,0.1894150417827298,-0.08895522388059698,0.3195967067318276,MathB_10_r,MathA_05_r,-0.08104638615319584,0.03133839499230749,0.08104638615319584,0.1482245414593637,0.0560292516529134,False,数と計算,数と計算
frozenset({'MathA_12_r'}),frozenset({'MathA_01_r'}),0.3125,0.4513888888888889,0.1840277777777778,0.5888888888888889,1.3046153846153847,1.0,0.04296875,1.3344594594594597,0.33962264150943394,0.3173652694610779,0.25063291139240507,0.4982905982905983,MathA_12_r,MathA_01_r,0.1862874620055973,5.9376035355749545e-06,0.1862874620055973,0.26590827290222036,5.0045515514131755e-05,True,図形,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathA_12_r'}),0.4513888888888889,0.3125,0.1840277777777778,0.4076923076923077,1.3046153846153845,1.0,0.04296875,1.1607142857142858,0.42560305708144247,0.3173652694610779,0.13846153846153844,0.4982905982905983,MathA_01_r,MathA_12_r,0.1862874620055973,5.9376035355749545e-06,0.1862874620055973,0.2659082729022202,5.0045515514131755e-05,True,数と計算,図形
