dom_u,dom_v,n_resid1,n_resid0,intersection,union,jaccard
データ活用,数と計算,0,1,0,1,0.0
図形,数と計算,0,1,0,1,0.0
数と計算,データ活用,1,0,0,1,0.0
量と測定,図形,1,0,0,1,0.0
量と測定,数と計算,1,0,0,1,0.0
