u,v,beta,ci_low,ci_high,boot_ok,sig,scale_sy_over_sx,delta_p,delta_p_lo,delta_p_hi,dom_u,dom_v
MathA_14,MathA_05,-0.155715,-0.156810,-0.154697,600,True,0.904345,-0.140820,-0.141810,-0.139899,図形,数と計算
MathB_06,MathA_02,0.129461,0.128486,0.130575,600,True,0.747276,0.096743,0.096015,0.097576,データ活用,数と計算
