u,v,beta,ci_low,ci_high,boot_ok,sig,scale_sy_over_sx,delta_p,delta_p_lo,delta_p_hi,dom_u,dom_v
MathA_02,MathB_06,0.159764,0.158735,0.160784,600,True,1.338194,0.213796,0.212419,0.215160,数と計算,データ活用
MathA_10,MathB_03,0.116985,0.115968,0.118097,600,True,1.185750,0.138715,0.137510,0.140033,量と測定,図形
MathA_10,MathB_09,0.174543,0.173559,0.175511,600,True,1.081991,0.188853,0.187789,0.189902,量と測定,数と計算
