u,v,delta_p_1,beta_1,dom_u_1,dom_v_1,delta_p_0,beta_0,dom_u_0,dom_v_0
MathA_02,MathB_06,0.213796,0.159764,数と計算,データ活用,,,,
MathA_10,MathB_03,0.138715,0.116985,量と測定,図形,,,,
MathA_10,MathB_09,0.188853,0.174543,量と測定,数と計算,,,,
