antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A_id,B_id,phi,p_value,abs_phi,abs_loglift,p_fdr,fdr_sig,domA,domB
frozenset({'MathA_10_r'}),frozenset({'MathA_09_r'}),0.49247606019151846,0.8057455540355677,0.42818057455540354,0.8694444444444445,1.0790558385210338,1.0,0.03137017858713492,1.487906394621184,0.1443555540246119,0.49213836477987416,0.3279147104851332,0.7004268062629693,MathA_10_r,MathA_09_r,0.1586031177509752,1.1807641461768208e-05,0.1586031177509752,0.07608643518818937,5.903820730884104e-05,True,量と測定,量と測定
frozenset({'MathA_09_r'}),frozenset({'MathA_10_r'}),0.8057455540355677,0.49247606019151846,0.42818057455540354,0.5314091680814941,1.0790558385210338,1.0,0.03137017858713492,1.0830855092289697,0.37715429959951413,0.49213836477987416,0.0767118648721622,0.7004268062629693,MathA_09_r,MathA_10_r,0.1586031177509752,1.1807641461768208e-05,0.1586031177509752,0.07608643518818937,5.903820730884104e-05,True,量と測定,量と測定
frozenset({'MathB_06_na'}),frozenset({'MathA_10_r'}),0.13679890560875513,0.49247606019151846,0.07934336525307797,0.58,1.1777222222222221,1.0,0.011973179180366833,1.2083903328773369,0.17481829608175314,0.1442786069651741,0.17245283018867918,0.3705555555555555,MathB_06_na,MathA_10_r,0.0696933516641837,0.03768595921732841,0.0696933516641837,0.1635822528579507,0.05653016835136494,False,データ活用,量と測定
frozenset({'MathA_10_r'}),frozenset({'MathB_06_na'}),0.49247606019151846,0.13679890560875513,0.07934336525307797,0.16111111111111112,1.1777222222222223,1.0,0.011973179180366833,1.028981437022676,0.29733246584255046,0.1442786069651741,0.028165169924282456,0.3705555555555555,MathA_10_r,MathB_06_na,0.0696933516641837,0.03768595921732841,0.0696933516641837,0.1635822528579509,0.05653016835136494,False,量と測定,データ活用
frozenset({'MathB_04_r'}),frozenset({'MathB_06_na'}),0.667578659370725,0.13679890560875513,0.07797537619699042,0.1168032786885246,0.8538319672131148,1.0,-0.013348653812684685,0.9773599398211775,-0.33992565764391924,0.10734463276836158,-0.023164505988412867,0.34340163934426227,MathB_04_r,MathB_06_na,-0.08246022141528597,0.018347920093517867,0.08246022141528597,0.1580208642569098,0.04169981839435879,True,量と測定,データ活用
frozenset({'MathB_06_na'}),frozenset({'MathB_04_r'}),0.13679890560875513,0.667578659370725,0.07797537619699042,0.57,0.8538319672131147,1.0,-0.013348653812684685,0.7730728851843603,-0.1654988399071926,0.10734463276836158,-0.2935390946502059,0.34340163934426227,MathB_06_na,MathB_04_r,-0.08246022141528597,0.018347920093517867,0.08246022141528597,0.15802086425690992,0.04169981839435879,True,データ活用,量と測定
frozenset({'MathB_06_na'}),frozenset({'MathB_07_r'}),0.13679890560875513,0.3283173734610123,0.05198358413132695,0.38,1.1574166666666668,1.0,0.007070126749519519,1.0833590750628834,0.15756109767286677,0.12582781456953643,0.0769450101832994,0.26916666666666667,MathB_06_na,MathB_07_r,0.04381278970742835,0.1425624998105865,0.04381278970742835,0.14619051014608167,0.1425624998105865,False,データ活用,数と計算
frozenset({'MathB_07_r'}),frozenset({'MathB_06_na'}),0.3283173734610123,0.13679890560875513,0.05198358413132695,0.15833333333333333,1.1574166666666665,1.0,0.007070126749519519,1.0255854586826672,0.20248686890341944,0.12582781456953643,0.024947173798203902,0.26916666666666667,MathB_07_r,MathB_06_na,0.04381278970742835,0.1425624998105865,0.04381278970742835,0.1461905101460815,0.1425624998105865,False,数と計算,データ活用
frozenset({'MathB_08_r'}),frozenset({'MathB_06_na'}),0.46511627906976744,0.13679890560875513,0.05471956224350205,0.11764705882352941,0.86,1.0,-0.008907835714058468,0.978294573643411,-0.23333333333333317,0.1,-0.02218700475435816,0.25882352941176473,MathB_08_r,MathB_06_na,-0.05197140238388753,0.09696086182632299,0.05197140238388753,0.15082288973458366,0.10100089773575312,False,図形,データ活用
frozenset({'MathB_06_na'}),frozenset({'MathB_08_r'}),0.13679890560875513,0.46511627906976744,0.05471956224350205,0.4,0.8600000000000001,1.0,-0.008907835714058468,0.8914728682170544,-0.15866666666666657,0.1,-0.12173913043478254,0.25882352941176473,MathB_06_na,MathB_08_r,-0.05197140238388753,0.09696086182632299,0.05197140238388753,0.15082288973458352,0.10100089773575312,False,データ活用,図形
frozenset({'MathB_11_r'}),frozenset({'MathB_02_r'}),0.22571819425444598,0.5239398084815321,0.1381668946648427,0.6121212121212122,1.1683044544663346,1.0,0.019904147196371014,1.2273426812585502,0.1860546478676138,0.2259507829977629,0.18523162661093714,0.43791439196138937,MathB_11_r,MathB_02_r,0.09533209388067886,0.006260612514380815,0.09533209388067886,0.15555351350981153,0.017390590317724487,True,数と計算,図形
frozenset({'MathB_02_r'}),frozenset({'MathB_11_r'}),0.5239398084815321,0.22571819425444598,0.1381668946648427,0.2637075718015666,1.1683044544663346,1.0,0.019904147196371014,1.0515955021296002,0.30260612268123394,0.2259507829977629,0.04906401941156394,0.43791439196138937,MathB_02_r,MathB_11_r,0.09533209388067886,0.006260612514380815,0.09533209388067886,0.15555351350981153,0.017390590317724487,True,図形,数と計算
frozenset({'MathB_11_r'}),frozenset({'MathB_07_r'}),0.22571819425444598,0.3283173734610123,0.08618331053351573,0.3818181818181818,1.1629545454545454,1.0,0.01207610585353347,1.0865454252836566,0.1809692074709742,0.1842105263157895,0.07965191631179407,0.3221590909090909,MathB_11_r,MathB_07_r,0.06151274538035641,0.0592214973144355,0.06151274538035641,0.15096378889873918,0.07050178251718513,False,数と計算,数と計算
frozenset({'MathB_07_r'}),frozenset({'MathB_11_r'}),0.3283173734610123,0.22571819425444598,0.08618331053351573,0.2625,1.1629545454545454,1.0,0.01207610585353347,1.0498736349092257,0.20861216176898453,0.1842105263157895,0.04750441696113074,0.3221590909090909,MathB_07_r,MathB_11_r,0.06151274538035641,0.0592214973144355,0.06151274538035641,0.15096378889873918,0.07050178251718513,False,数と計算,数と計算
frozenset({'MathB_11_r'}),frozenset({'MathB_03_r'}),0.22571819425444598,0.2585499316005472,0.07113543091655267,0.3151515151515151,1.2189193522526856,1.0,0.012776007231066637,1.0826483299638028,0.23195841261212283,0.17218543046357618,0.07633903611763389,0.29514189514189515,MathB_11_r,MathB_03_r,0.06979899504990789,0.03844051447892816,0.06979899504990789,0.19796468937098283,0.05653016835136494,False,数と計算,図形
frozenset({'MathB_03_r'}),frozenset({'MathB_11_r'}),0.2585499316005472,0.22571819425444598,0.07113543091655267,0.2751322751322752,1.2189193522526858,1.0,0.012776007231066637,1.0681697904081,0.24222963383479987,0.17218543046357618,0.06381924579804442,0.29514189514189515,MathB_03_r,MathB_11_r,0.06979899504990789,0.03844051447892816,0.06979899504990789,0.19796468937098302,0.05653016835136494,False,図形,数と計算
frozenset({'MathB_12_r'}),frozenset({'MathB_13_r'}),0.12038303693570451,0.46511627906976744,0.06839945280437756,0.5681818181818182,1.2215909090909092,1.0,0.012407342601724304,1.2386780905752757,0.20622083981337483,0.13227513227513224,0.1926877470355732,0.357620320855615,MathB_12_r,MathB_13_r,0.07644320172849502,0.025515163515614257,0.07644320172849502,0.20015403308951107,0.04556279199216831,True,図形,図形
frozenset({'MathB_13_r'}),frozenset({'MathB_12_r'}),0.46511627906976744,0.12038303693570451,0.06839945280437756,0.14705882352941177,1.2215909090909092,1.0,0.012407342601724304,1.0312750601443466,0.33913043478260874,0.13227513227513224,0.030326594090202184,0.357620320855615,MathB_13_r,MathB_12_r,0.07644320172849502,0.025515163515614257,0.07644320172849502,0.20015403308951107,0.04556279199216831,True,図形,図形
