antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A_id,B_id,phi,p_value,abs_phi,abs_loglift,p_fdr,fdr_sig,domA,domB
frozenset({'MathB_10_r'}),frozenset({'MathA_03_r'}),0.8956521739130435,0.9869565217391304,0.8913043478260869,0.9951456310679611,1.0082973354433087,1.0,0.007334593572778769,2.6869565217390776,0.07886178861788558,0.8991228070175438,0.6278317152103486,0.9491146657542449,MathB_10_r,MathA_03_r,0.2114554770580087,0.02941852447713169,0.2114554770580087,0.008263101790619813,0.050431756246511465,False,数と計算,数と計算
frozenset({'MathA_03_r'}),frozenset({'MathB_10_r'}),0.9869565217391304,0.8956521739130435,0.8913043478260869,0.9030837004405287,1.0082973354433087,1.0,0.007334593572778769,1.076679841897233,0.6308943089430827,0.8991228070175438,0.07121879588839922,0.9491146657542449,MathA_03_r,MathB_10_r,0.2114554770580087,0.02941852447713169,0.2114554770580087,0.008263101790619813,0.050431756246511465,False,数と計算,数と計算
frozenset({'MathB_10_r'}),frozenset({'MathA_07_r'}),0.8956521739130435,0.9826086956521739,0.8869565217391304,0.9902912621359222,1.0078185411117793,1.0,0.0068809073724006575,1.7913043478260684,0.07434640522875714,0.894736842105263,0.4417475728155282,0.9464730646962797,MathB_10_r,MathA_07_r,0.17217811044234613,0.055072660394035695,0.17217811044234613,0.00778813470554471,0.07343021385871426,False,数と計算,数と計算
frozenset({'MathA_07_r'}),frozenset({'MathB_10_r'}),0.9826086956521739,0.8956521739130435,0.8869565217391304,0.9026548672566371,1.0078185411117793,1.0,0.0068809073724006575,1.0719367588932798,0.4460784313725424,0.894736842105263,0.06710914454277206,0.9464730646962797,MathA_07_r,MathB_10_r,0.17217811044234613,0.055072660394035695,0.17217811044234613,0.00778813470554471,0.07343021385871426,False,数と計算,数と計算
frozenset({'MathA_16_r'}),frozenset({'MathB_09_r'}),0.9826086956521739,0.8652173913043478,0.8565217391304348,0.8716814159292036,1.007470983234758,1.0,0.00635160680529312,1.0503748125937034,0.4263959390863018,0.8640350877192984,0.04795889237796191,0.9308155823364611,MathA_16_r,MathB_09_r,0.14228125165179684,0.08880684501195185,0.14228125165179684,0.00744321366440567,0.09130434782608697,False,データ活用,数と計算
frozenset({'MathB_09_r'}),frozenset({'MathA_16_r'}),0.8652173913043478,0.9826086956521739,0.8565217391304348,0.9899497487437187,1.007470983234758,1.0,0.00635160680529312,1.7304347826087083,0.05501883084984542,0.8640350877192984,0.4221105527638233,0.9308155823364611,MathB_09_r,MathA_16_r,0.14228125165179684,0.08880684501195185,0.14228125165179684,0.00744321366440567,0.09130434782608697,False,数と計算,データ活用
frozenset({'MathB_04_r'}),frozenset({'MathA_01_r'}),0.8608695652173913,0.9608695652173913,0.8391304347826087,0.9747474747474748,1.0144430732666028,1.0,0.011947069943289201,1.549565217391308,0.10233160621761639,0.8539823008849559,0.35465768799102276,0.9240253210841447,MathB_04_r,MathA_01_r,0.17802955341908916,0.023701504725418904,0.17802955341908916,0.014339765615792963,0.04740300945083781,True,量と測定,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathB_04_r'}),0.9608695652173913,0.8608695652173913,0.8391304347826087,0.8733031674208145,1.0144430732666025,1.0,0.011947069943289201,1.0981366459627329,0.36384571099596935,0.8539823008849559,0.08936651583710395,0.9240253210841447,MathA_01_r,MathB_04_r,0.17802955341908916,0.023701504725418904,0.17802955341908916,0.014339765615792744,0.04740300945083781,True,数と計算,量と測定
frozenset({'MathA_02_r'}),frozenset({'MathB_06_r'}),0.9869565217391304,0.8565217391304348,0.8521739130434782,0.8634361233480177,1.0080726313200206,1.0,0.006824196597353449,1.0506311360448808,0.6139455782312866,0.8596491228070174,0.04819116272860766,0.9291799906080189,MathA_02_r,MathB_06_r,0.17157087372977456,0.05469607186753671,0.17157087372977456,0.008040221934321412,0.07343021385871426,False,数と計算,データ活用
frozenset({'MathB_06_r'}),frozenset({'MathA_02_r'}),0.8565217391304348,0.9869565217391304,0.8521739130434782,0.9949238578680202,1.0080726313200206,1.0,0.006824196597353449,2.5695652173912475,0.05581323438466259,0.8596491228070174,0.6108291032148814,0.9291799906080189,MathB_06_r,MathA_02_r,0.17157087372977456,0.05469607186753671,0.17157087372977456,0.008040221934321412,0.07343021385871426,False,データ活用,数と計算
frozenset({'MathA_05_r'}),frozenset({'MathB_02_r'}),0.9608695652173913,0.8,0.782608695652174,0.8144796380090498,1.0180995475113122,1.0,0.013913043478260834,1.0780487804878045,0.45432098765431983,0.8,0.07239819004524863,0.8963702537871336,MathA_05_r,MathB_02_r,0.17937941173235,0.017438634262729822,0.17937941173235,0.01793770068666725,0.04740300945083781,True,数と計算,図形
frozenset({'MathB_02_r'}),frozenset({'MathA_05_r'}),0.8,0.9608695652173913,0.782608695652174,0.9782608695652174,1.0180995475113122,1.0,0.013913043478260834,1.800000000000001,0.08888888888888867,0.8,0.44444444444444475,0.8963702537871336,MathB_02_r,MathA_05_r,0.17937941173235,0.017438634262729822,0.17937941173235,0.01793770068666725,0.04740300945083781,True,図形,数と計算
frozenset({'MathB_02_r'}),frozenset({'MathB_06_r'}),0.8,0.8565217391304348,0.6652173913043479,0.8315217391304348,0.9708121827411167,1.0,-0.020000000000000018,0.8516129032258063,-0.1306818181818183,0.6710526315789475,-0.17424242424242445,0.8040857426616641,MathB_02_r,MathB_06_r,-0.142628973740018,0.01931896868895078,0.142628973740018,0.02962225603134335,0.04740300945083781,True,図形,データ活用
frozenset({'MathB_06_r'}),frozenset({'MathB_02_r'}),0.8565217391304348,0.8,0.6652173913043479,0.7766497461928934,0.9708121827411167,1.0,-0.020000000000000018,0.8954545454545453,-0.17324381856885557,0.6710526315789475,-0.11675126903553326,0.8040857426616641,MathB_06_r,MathB_02_r,-0.142628973740018,0.01931896868895078,0.142628973740018,0.02962225603134335,0.04740300945083781,True,データ活用,図形
frozenset({'MathB_05_r'}),frozenset({'MathB_09_r'}),0.33043478260869563,0.8652173913043478,0.2608695652173913,0.7894736842105263,0.9124570219518646,1.0,-0.025028355387523626,0.6402173913043478,-0.12533131389625138,0.27906976744186046,-0.5619694397283531,0.5454906109494843,MathB_05_r,MathB_09_r,-0.15581649948405482,0.017192596744967825,0.15581649948405482,0.09161429386552737,0.04740300945083781,True,データ活用,数と計算
frozenset({'MathB_09_r'}),frozenset({'MathB_05_r'}),0.8652173913043478,0.33043478260869563,0.2608695652173913,0.3015075376884422,0.9124570219518645,1.0,-0.025028355387523626,0.9585861745386299,-0.4158291457286432,0.27906976744186046,-0.04320302812765125,0.5454906109494843,MathB_09_r,MathB_05_r,-0.15581649948405482,0.017192596744967825,0.15581649948405482,0.0916142938655275,0.04740300945083781,True,数と計算,データ活用
frozenset({'MathB_12_r'}),frozenset({'MathB_07_r'}),0.26521739130434785,0.7086956521739131,0.1565217391304348,0.5901639344262295,0.8327466559388514,1.0,-0.0314366729678639,0.7107826086956521,-0.2146637408028914,0.19148936170212766,-0.4068999265965257,0.4055114150658755,MathB_12_r,MathB_07_r,-0.15673023178221757,0.014588090225114347,0.15673023178221757,0.18302581760076822,0.04740300945083781,True,図形,数と計算
frozenset({'MathB_07_r'}),frozenset({'MathB_12_r'}),0.7086956521739131,0.26521739130434785,0.1565217391304348,0.22085889570552147,0.8327466559388513,1.0,-0.0314366729678639,0.9430674426566245,-0.4080981595092024,0.19148936170212766,-0.06036955022325483,0.4055114150658755,MathB_07_r,MathB_12_r,-0.15673023178221757,0.014588090225114347,0.15673023178221757,0.18302581760076836,0.04740300945083781,True,数と計算,図形
frozenset({'MathB_12_r'}),frozenset({'MathB_03_r'}),0.26521739130434785,0.6086956521739131,0.1391304347826087,0.5245901639344261,0.8618266978922715,1.0,-0.022306238185255234,0.8230884557721138,-0.1791135397692777,0.18934911242603547,-0.2149362477231333,0.37658079625292734,MathB_12_r,MathB_03_r,-0.10353530445876959,0.07880061071122493,0.10353530445876959,0.1487010750596938,0.09130434782608697,False,図形,図形
frozenset({'MathB_03_r'}),frozenset({'MathB_12_r'}),0.6086956521739131,0.26521739130434785,0.1391304347826087,0.22857142857142856,0.8618266978922715,1.0,-0.022306238185255234,0.9524959742351046,-0.2906403940886704,0.18934911242603547,-0.049873203719357606,0.37658079625292734,MathB_03_r,MathB_12_r,-0.10353530445876959,0.07880061071122493,0.10353530445876959,0.1487010750596938,0.09130434782608697,False,図形,図形
frozenset({'MathB_01_r'}),frozenset({'MathA_10_r'}),0.9956521739130435,0.908695652173913,0.908695652173913,0.9126637554585152,1.0043668122270741,1.0,0.003950850661625704,1.045434782608695,1.0000000000000047,0.9126637554585151,0.04346017883135715,0.9563318777292575,MathB_01_r,MathA_10_r,0.20847105034358576,0.09130434782608697,0.20847105034358576,0.004357305368955626,0.09130434782608697,False,図形,量と測定
frozenset({'MathA_10_r'}),frozenset({'MathB_01_r'}),0.908695652173913,0.9956521739130435,0.908695652173913,1.0,1.0043668122270741,1.0,0.003950850661625704,inf,0.047619047619047554,0.9126637554585151,1.0,0.9563318777292575,MathA_10_r,MathB_01_r,0.20847105034358576,0.09130434782608697,0.20847105034358576,0.004357305368955626,0.09130434782608697,False,量と測定,図形
frozenset({'MathB_11_r'}),frozenset({'MathB_13_r'}),0.5652173913043478,0.9,0.48695652173913045,0.8615384615384616,0.9572649572649573,1.0,-0.02173913043478254,0.7222222222222223,-0.0931174089068823,0.4977777777777779,-0.38461538461538447,0.7013006317354143,MathB_11_r,MathB_13_r,-0.14617633655117154,0.020673441384240827,0.14617633655117154,0.04367506350266153,0.04740300945083781,True,数と計算,図形
frozenset({'MathB_13_r'}),frozenset({'MathB_11_r'}),0.9,0.5652173913043478,0.48695652173913045,0.5410628019323671,0.9572649572649573,1.0,-0.02173913043478254,0.9473684210526316,-0.30864197530864124,0.4977777777777779,-0.05555555555555554,0.7013006317354143,MathB_13_r,MathB_11_r,-0.14617633655117154,0.020673441384240827,0.14617633655117154,0.04367506350266153,0.04740300945083781,True,図形,数と計算
